,PROTEIN
6106,nucleocapsid phosphoprotein
2095,membrane glycoprotein
11797,ORF1a polyprotein
8122,ORF1ab polyprotein
2966,ORF1ab polyprotein
7837,ORF1ab polyprotein
5055,ORF1a polyprotein
9751,ORF1a polyprotein
3202,ORF1ab polyprotein
2472,ORF8 protein
7017,ORF1ab polyprotein
10741,ORF1a polyprotein
243,ORF1ab polyprotein
7901,ORF1a polyprotein
2551,ORF1ab polyprotein
10722,ORF1a polyprotein
1320,ORF1ab polyprotein
2457,ORF8 protein
1825,ORF1a polyprotein
10428,ORF1ab polyprotein
11866,surface glycoprotein
7598,ORF1ab polyprotein
9862,ORF1a polyprotein
5653,surface glycoprotein
3560,surface glycoprotein
438,ORF1a polyprotein
12892,surface glycoprotein
12553,surface glycoprotein
5186,ORF1ab polyprotein
6647,ORF1a polyprotein
7736,ORF1ab polyprotein
6088,ORF1a polyprotein
8544,ORF1ab polyprotein
1991,ORF1ab polyprotein
6036,surface glycoprotein
9736,nucleocapsid phosphoprotein
1696,ORF1ab polyprotein
9403,ORF1ab polyprotein
4495,ORF1ab polyprotein
11769,nucleocapsid phosphoprotein
10434,ORF1a polyprotein
1003,membrane glycoprotein
11013,ORF3a protein
979,ORF1ab polyprotein
10192,ORF1a polyprotein
1289,ORF1a polyprotein
7636,ORF1a polyprotein
1445,ORF1ab polyprotein
1113,ORF1ab polyprotein
2771,ORF1ab polyprotein
8320,ORF1ab polyprotein
3702,ORF1ab polyprotein
10816,ORF1ab polyprotein
10373,ORF1a polyprotein
10093,nucleocapsid phosphoprotein
7999,ORF1a polyprotein
723,surface glycoprotein
483,ORF1ab polyprotein
11443,ORF4a protein
3398,surface glycoprotein
2308,ORF1a polyprotein
11305,surface glycoprotein
13136,ORF1ab polyprotein
8046,ORF1a polyprotein
9903,surface glycoprotein
7987,ORF1a polyprotein
1058,ORF1ab polyprotein
1980,ORF1a polyprotein
1447,ORF1ab polyprotein
533,surface glycoprotein
2271,ORF1ab polyprotein
4527,ORF1ab polyprotein
2925,ORF1a polyprotein
6831,ORF1a polyprotein
7606,ORF1ab polyprotein
9011,ORF1ab polyprotein
11911,nucleocapsid phosphoprotein
4401,ORF1a polyprotein
10730,ORF1ab polyprotein
7469,ORF1a polyprotein
4248,ORF1a polyprotein
6582,ORF1a polyprotein
140,ORF1a polyprotein
8428,ORF1a polyprotein
8689,surface glycoprotein
7871,ORF1ab polyprotein
8944,ORF1a polyprotein
10510,ORF1ab polyprotein
6826,ORF1a polyprotein
3997,ORF1a polyprotein
376,ORF1ab polyprotein
5119,ORF1ab polyprotein
9279,ORF1ab polyprotein
9915,surface glycoprotein
11425,ORF1b polyprotein
8968,ORF1a polyprotein
11826,ORF1ab polyprotein
8116,ORF1a polyprotein
3812,ORF1ab polyprotein
4127,surface glycoprotein
3605,ORF1ab polyprotein
4997,ORF1ab polyprotein
9913,ORF1a polyprotein
12403,ORF1a polyprotein
10414,surface glycoprotein
2113,ORF1a polyprotein
4989,ORF1ab polyprotein
12506,ORF1a polyprotein
3352,ORF1ab polyprotein
21,ORF1ab polyprotein
1169,ORF1ab polyprotein
10023,ORF1ab polyprotein
9088,ORF3a protein
3230,ORF1ab polyprotein
11672,ORF3 protein
11904,surface glycoprotein
2021,ORF1ab polyprotein
7293,ORF1a polyprotein
6868,ORF1ab polyprotein
10712,ORF1ab polyprotein
11442,surface glycoprotein
7878,nucleocapsid phosphoprotein
7322,ORF1ab polyprotein
5536,ORF1a polyprotein
12075,nucleocapsid phosphoprotein
6931,ORF1a polyprotein
9578,ORF1ab polyprotein
3321,ORF8 protein
3470,ORF1ab polyprotein
5314,ORF1a polyprotein
180,ORF1a polyprotein
2197,ORF1a polyprotein
4046,ORF1a polyprotein
11807,ORF1ab polyprotein
7529,ORF1ab polyprotein
7777,ORF1ab polyprotein
8622,ORF1a polyprotein
11294,surface glycoprotein
4180,ORF1ab polyprotein
1552,ORF1a polyprotein
2314,ORF1a polyprotein
10516,ORF1ab polyprotein
4764,ORF1ab polyprotein
2993,ORF1a polyprotein
3943,ORF1ab polyprotein
5099,ORF1ab polyprotein
1786,ORF1ab polyprotein
12336,ORF8b protein
11146,ORF1ab polyprotein
5898,ORF1ab polyprotein
11207,ORF1a polyprotein
108,ORF1a polyprotein
9343,surface glycoprotein
6223,ORF1ab polyprotein
2603,surface glycoprotein
11161,nucleocapsid phosphoprotein
9332,ORF1ab polyprotein
3821,ORF1a polyprotein
4792,surface glycoprotein
7069,ORF1ab polyprotein
1942,ORF1ab polyprotein
9442,ORF1ab polyprotein
3923,ORF1a polyprotein
4106,ORF1ab polyprotein
6290,ORF1ab polyprotein
11737,ORF1ab polyprotein
4558,nucleocapsid phosphoprotein
4925,ORF1a polyprotein
2309,ORF1ab polyprotein
3601,ORF1ab polyprotein
5094,ORF1ab polyprotein
5369,ORF1a polyprotein
12858,ORF4b protein
5671,ORF1ab polyprotein
8556,ORF1ab polyprotein
5250,surface glycoprotein
11990,surface glycoprotein
3499,ORF1ab polyprotein
5327,nucleocapsid phosphoprotein
7795,nucleocapsid phosphoprotein
6031,surface glycoprotein
12478,ORF4a protein
12241,ORF4a protein
2658,ORF1a polyprotein
554,ORF1ab polyprotein
436,ORF1a polyprotein
2516,ORF1ab polyprotein
1603,ORF1ab polyprotein
10637,ORF1ab polyprotein
9055,ORF1a polyprotein
1219,ORF1a polyprotein
13179,ORF3 protein
12731,nucleocapsid phosphoprotein
12612,ORF1a polyprotein
2259,ORF1a polyprotein
7821,ORF1ab polyprotein
9995,ORF1a polyprotein
11400,surface glycoprotein
1111,ORF1a polyprotein
1086,ORF1a polyprotein
5359,ORF1a polyprotein
8000,ORF1ab polyprotein
4651,ORF1ab polyprotein
12051,ORF1ab polyprotein
1767,nucleocapsid phosphoprotein
3665,ORF1ab polyprotein
10113,ORF1a polyprotein
8324,ORF1ab polyprotein
12124,surface glycoprotein
2116,ORF1a polyprotein
9567,ORF1ab polyprotein
764,ORF1a polyprotein
3701,ORF1ab polyprotein
5071,ORF3a protein
8005,ORF1ab polyprotein
11753,nucleocapsid phosphoprotein
13162,membrane glycoprotein
4032,nucleocapsid phosphoprotein
2302,ORF1a polyprotein
3577,ORF1ab polyprotein
1954,surface glycoprotein
5237,ORF1a polyprotein
10863,ORF1ab polyprotein
9425,ORF1a polyprotein
12396,ORF3 protein
11651,ORF1a polyprotein
7000,ORF1a polyprotein
1901,ORF1ab polyprotein
9281,nucleocapsid phosphoprotein
307,ORF1a polyprotein
2051,surface glycoprotein
950,ORF1a polyprotein
4772,surface glycoprotein
13129,envelope protein
5914,ORF1a polyprotein
4077,ORF1a polyprotein
9675,surface glycoprotein
11589,ORF1a polyprotein
852,nucleocapsid phosphoprotein
1681,ORF1a polyprotein
2166,ORF1ab polyprotein
8728,ORF1ab polyprotein
8409,surface glycoprotein
8943,ORF1a polyprotein
3635,ORF1ab polyprotein
10222,ORF1ab polyprotein
2562,ORF1a polyprotein
7414,ORF1ab polyprotein
3855,surface glycoprotein
2582,ORF1a polyprotein
1849,surface glycoprotein
3219,ORF1ab polyprotein
6616,ORF1ab polyprotein
1563,ORF1a polyprotein
5477,ORF1a polyprotein
1974,ORF1a polyprotein
7485,ORF1ab polyprotein
12988,ORF4b protein
11260,nucleocapsid phosphoprotein
9064,ORF1ab polyprotein
8455,ORF1a polyprotein
1790,ORF1ab polyprotein
8423,ORF1a polyprotein
6867,ORF1ab polyprotein
5560,ORF1a polyprotein
10397,ORF1a polyprotein
3810,ORF1a polyprotein
3485,ORF8 protein
4065,ORF1a polyprotein
9169,surface glycoprotein
11796,surface glycoprotein
3055,ORF1ab polyprotein
5902,ORF1a polyprotein
817,ORF1ab polyprotein
6670,ORF1a polyprotein
6755,ORF1a polyprotein
6740,ORF1a polyprotein
11228,ORF1a polyprotein
8910,ORF1a polyprotein
6558,ORF1ab polyprotein
4569,ORF1ab polyprotein
11498,surface glycoprotein
5321,ORF1ab polyprotein
295,ORF1ab polyprotein
11451,ORF5 protein
6791,ORF1ab polyprotein
10680,ORF1a polyprotein
173,ORF1a polyprotein
1355,ORF1a polyprotein
5401,ORF1ab polyprotein
2284,ORF1a polyprotein
3557,ORF1ab polyprotein
8019,ORF1a polyprotein
1937,ORF1a polyprotein
10593,membrane glycoprotein
5824,ORF1a polyprotein
2504,ORF1a polyprotein
11636,ORF4b protein
4483,ORF1a polyprotein
9693,ORF1ab polyprotein
12767,ORF1a polyprotein
11241,surface glycoprotein
11429,ORF1a polyprotein
4186,ORF1a polyprotein
922,ORF1ab polyprotein
7278,ORF1ab polyprotein
6053,ORF1a polyprotein
12971,ORF4b protein
407,ORF1ab polyprotein
4499,ORF1a polyprotein
12163,ORF1ab polyprotein
8125,ORF1a polyprotein
4512,ORF1a polyprotein
1715,ORF1ab polyprotein
5352,ORF1ab polyprotein
10946,surface glycoprotein
6964,ORF1ab polyprotein
7998,ORF1ab polyprotein
709,ORF1ab polyprotein
565,ORF1a polyprotein
3076,ORF1ab polyprotein
9777,ORF3a protein
4761,ORF1a polyprotein
4872,ORF1ab polyprotein
12006,nucleocapsid phosphoprotein
8825,ORF1ab polyprotein
7287,ORF1ab polyprotein
12621,ORF1a polyprotein
8045,ORF1ab polyprotein
6271,surface glycoprotein
10302,ORF1a polyprotein
1041,ORF1a polyprotein
10700,ORF1ab polyprotein
9216,ORF1ab polyprotein
6429,ORF1ab polyprotein
12891,ORF1a polyprotein
3405,ORF1a polyprotein
3873,ORF1ab polyprotein
10421,ORF3a protein
10627,nucleocapsid phosphoprotein
2840,ORF1a polyprotein
12270,ORF1a polyprotein
4056,ORF1a polyprotein
3864,ORF1ab polyprotein
6174,ORF1ab polyprotein
8018,ORF1a polyprotein
3585,surface glycoprotein
4677,ORF1ab polyprotein
4983,ORF1a polyprotein
5249,ORF1ab polyprotein
6425,ORF1a polyprotein
8606,ORF1a polyprotein
7451,ORF1ab polyprotein
8762,ORF1ab polyprotein
485,surface glycoprotein
4023,ORF1a polyprotein
4351,ORF1ab polyprotein
9501,surface glycoprotein
2531,ORF1a polyprotein
6694,nucleocapsid phosphoprotein
1108,ORF1ab polyprotein
6216,ORF1a polyprotein
876,ORF1ab polyprotein
1309,ORF1ab polyprotein
10540,ORF1ab polyprotein
9359,nucleocapsid phosphoprotein
8367,ORF1ab polyprotein
1779,surface glycoprotein
3357,ORF1a polyprotein
1617,ORF1a polyprotein
3587,ORF1a polyprotein
10839,ORF1a polyprotein
3239,ORF1a polyprotein
67,ORF1a polyprotein
2483,ORF1ab polyprotein
5195,ORF1ab polyprotein
975,ORF1a polyprotein
6233,ORF1ab polyprotein
4587,surface glycoprotein
2106,ORF1ab polyprotein
6034,ORF1ab polyprotein
5807,nucleocapsid phosphoprotein
12152,surface glycoprotein
11030,surface glycoprotein
9740,surface glycoprotein
3079,ORF1ab polyprotein
4638,ORF1a polyprotein
112,ORF1ab polyprotein
9776,ORF1ab polyprotein
12214,membrane glycoprotein
1480,ORF1ab polyprotein
1305,ORF1ab polyprotein
7225,ORF1ab polyprotein
6226,surface glycoprotein
8872,ORF1a polyprotein
9811,ORF1ab polyprotein
12219,ORF3 protein
8231,ORF1a polyprotein
7466,ORF1ab polyprotein
6462,ORF1ab polyprotein
6485,ORF1a polyprotein
11562,ORF5 protein
3750,ORF1a polyprotein
6040,ORF1ab polyprotein
3767,ORF1ab polyprotein
4602,ORF1a polyprotein
8055,ORF1ab polyprotein
12825,ORF4a protein
7398,ORF1ab polyprotein
5032,surface glycoprotein
8717,ORF1ab polyprotein
10513,ORF1ab polyprotein
9961,ORF1a polyprotein
6184,ORF1a polyprotein
2343,ORF1a polyprotein
6650,ORF1a polyprotein
443,ORF1ab polyprotein
11846,ORF4a protein
223,surface glycoprotein
5022,ORF1a polyprotein
9226,ORF1ab polyprotein
11568,ORF1a polyprotein
12970,ORF1ab polyprotein
458,ORF1ab polyprotein
6621,ORF1a polyprotein
738,ORF1ab polyprotein
342,ORF1ab polyprotein
1357,ORF1ab polyprotein
2567,ORF1ab polyprotein
9901,ORF1a polyprotein
8130,ORF1ab polyprotein
11608,ORF1ab polyprotein
9003,ORF1a polyprotein
9834,ORF1ab polyprotein
6900,ORF1ab polyprotein
6460,ORF1a polyprotein
2718,ORF1a polyprotein
3494,surface glycoprotein
5593,ORF1ab polyprotein
4535,nucleocapsid phosphoprotein
12626,ORF4a protein
12388,ORF5 protein
613,ORF1a polyprotein
4052,ORF1a polyprotein
4099,ORF1a polyprotein
10808,ORF1ab polyprotein
2219,ORF1a polyprotein
4272,ORF1a polyprotein
10265,ORF1a polyprotein
6197,surface glycoprotein
2012,ORF1ab polyprotein
1872,ORF1ab polyprotein
7099,surface glycoprotein
2176,surface glycoprotein
10375,ORF3a protein
9435,ORF1ab polyprotein
5493,ORF1a polyprotein
8419,ORF1ab polyprotein
2018,ORF1ab polyprotein
9418,surface glycoprotein
13150,ORF1a polyprotein
1566,ORF1a polyprotein
7596,surface glycoprotein
5460,ORF1a polyprotein
4196,ORF1a polyprotein
8743,ORF1ab polyprotein
7229,ORF1ab polyprotein
9615,ORF1ab polyprotein
8579,ORF1ab polyprotein
3731,surface glycoprotein
367,ORF1a polyprotein
7139,ORF1ab polyprotein
0,ORF1ab polyprotein
8305,ORF1a polyprotein
9859,ORF1a polyprotein
8627,ORF1ab polyprotein
12949,ORF4a protein
7909,ORF1ab polyprotein
9639,ORF1ab polyprotein
4796,ORF1ab polyprotein
10639,surface glycoprotein
2304,ORF1a polyprotein
8425,ORF1ab polyprotein
12763,ORF3 protein
5607,ORF1ab polyprotein
11774,surface glycoprotein
484,ORF1ab polyprotein
7198,ORF1ab polyprotein
9122,nucleocapsid phosphoprotein
99,ORF1a polyprotein
8977,surface glycoprotein
1539,ORF1a polyprotein
3500,ORF1ab polyprotein
2436,ORF1ab polyprotein
5128,surface glycoprotein
9262,ORF1a polyprotein
10111,ORF1ab polyprotein
1163,ORF1a polyprotein
12947,ORF4b protein
6592,ORF1ab polyprotein
1216,ORF1ab polyprotein
6782,ORF1ab polyprotein
12729,ORF3 protein
3200,ORF1a polyprotein
2117,surface glycoprotein
7862,ORF1a polyprotein
6729,ORF1a polyprotein
11347,ORF1a polyprotein
710,ORF1ab polyprotein
1662,ORF1a polyprotein
572,ORF1ab polyprotein
8953,nucleocapsid phosphoprotein
13004,surface glycoprotein
3747,ORF1a polyprotein
11623,ORF1a polyprotein
6317,surface glycoprotein
9618,ORF1ab polyprotein
2439,ORF1ab polyprotein
10522,surface glycoprotein
5759,ORF1ab polyprotein
1094,ORF1ab polyprotein
3146,ORF1a polyprotein
7034,surface glycoprotein
9024,ORF1ab polyprotein
11094,nucleocapsid phosphoprotein
3707,ORF1ab polyprotein
159,ORF1ab polyprotein
11720,ORF1a polyprotein
834,ORF1a polyprotein
839,ORF3a protein
9531,ORF1ab polyprotein
1621,surface glycoprotein
5909,ORF1ab polyprotein
5953,ORF1ab polyprotein
6658,ORF1a polyprotein
8422,ORF1a polyprotein
10442,ORF1ab polyprotein
10403,ORF1ab polyprotein
1906,ORF1ab polyprotein
1419,ORF1a polyprotein
1812,ORF1ab polyprotein
9012,ORF1ab polyprotein
2618,surface glycoprotein
6945,ORF1ab polyprotein
1039,ORF1ab polyprotein
2794,ORF1a polyprotein
11655,envelope protein
6560,ORF1ab polyprotein
1859,ORF1ab polyprotein
1333,ORF1ab polyprotein
11213,nucleocapsid phosphoprotein
10326,ORF1ab polyprotein
8571,ORF1ab polyprotein
10949,ORF1a polyprotein
5656,ORF1a polyprotein
9967,surface glycoprotein
9941,ORF1ab polyprotein
4039,ORF1ab polyprotein
927,ORF1a polyprotein
3221,ORF1ab polyprotein
15,ORF1ab polyprotein
2952,ORF1ab polyprotein
1738,ORF1ab polyprotein
5411,ORF1ab polyprotein
9758,ORF1a polyprotein
5704,ORF1a polyprotein
388,ORF1a polyprotein
11346,ORF4a protein
1248,ORF1a polyprotein
884,surface glycoprotein
12577,ORF1ab polyprotein
3527,nucleocapsid phosphoprotein
8279,surface glycoprotein
7464,ORF1ab polyprotein
9850,surface glycoprotein
10534,ORF1a polyprotein
10148,ORF1a polyprotein
7773,ORF1a polyprotein
7961,ORF1a polyprotein
8816,ORF1ab polyprotein
10312,ORF1ab polyprotein
11844,ORF1a polyprotein
8483,ORF1a polyprotein
1375,nucleocapsid phosphoprotein
8981,ORF1ab polyprotein
1977,ORF1ab polyprotein
12045,ORF1ab polyprotein
13101,nucleocapsid phosphoprotein
5143,ORF1a polyprotein
12490,nucleocapsid phosphoprotein
1691,ORF1ab polyprotein
915,ORF1ab polyprotein
7911,ORF1a polyprotein
4372,ORF1ab polyprotein
2451,surface glycoprotein
1434,ORF1a polyprotein
9632,ORF1ab polyprotein
3175,surface glycoprotein
7689,ORF1ab polyprotein
4396,ORF1a polyprotein
12961,nucleocapsid phosphoprotein
12310,ORF8b protein
12480,ORF1ab polyprotein
10765,surface glycoprotein
8382,ORF1ab polyprotein
1718,surface glycoprotein
3204,ORF1a polyprotein
918,surface glycoprotein
10084,nucleocapsid phosphoprotein
3173,ORF1a polyprotein
12469,ORF1ab polyprotein
3743,ORF1ab polyprotein
5796,ORF1ab polyprotein
10294,ORF1ab polyprotein
8486,ORF1a polyprotein
7405,ORF1ab polyprotein
934,ORF1a polyprotein
4922,ORF1ab polyprotein
1254,ORF1a polyprotein
12523,ORF1a polyprotein
11979,ORF1a polyprotein
1193,ORF1ab polyprotein
11836,ORF1ab polyprotein
10260,ORF1ab polyprotein
1997,surface glycoprotein
8306,ORF1ab polyprotein
3535,ORF1a polyprotein
12939,surface glycoprotein
6191,ORF1ab polyprotein
4130,ORF1ab polyprotein
10569,ORF1a polyprotein
2265,surface glycoprotein
1642,ORF1a polyprotein
12941,surface glycoprotein
8096,ORF1a polyprotein
7887,ORF1ab polyprotein
7980,ORF1ab polyprotein
1838,ORF1ab polyprotein
12438,ORF1ab polyprotein
2007,ORF1a polyprotein
6141,ORF1a polyprotein
11176,nucleocapsid phosphoprotein
6545,ORF1ab polyprotein
3715,ORF1ab polyprotein
54,ORF1ab polyprotein
1495,ORF1ab polyprotein
2744,ORF1a polyprotein
10546,ORF1ab polyprotein
11093,nucleocapsid phosphoprotein
5753,ORF1a polyprotein
739,nucleocapsid phosphoprotein
6443,ORF1ab polyprotein
11493,ORF1ab polyprotein
4382,ORF1ab polyprotein
1783,ORF1ab polyprotein
12153,surface glycoprotein
6750,ORF1a polyprotein
8766,ORF1ab polyprotein
1277,ORF1ab polyprotein
9549,surface glycoprotein
3148,ORF1ab polyprotein
4704,ORF1ab polyprotein
1123,ORF1a polyprotein
7094,ORF1ab polyprotein
10155,ORF1ab polyprotein
9082,ORF1a polyprotein
512,ORF1a polyprotein
937,ORF1a polyprotein
10590,surface glycoprotein
291,surface glycoprotein
7573,surface glycoprotein
12569,ORF1ab polyprotein
4295,ORF1a polyprotein
12880,ORF1ab polyprotein
4103,ORF1ab polyprotein
7323,ORF1a polyprotein
2574,ORF1ab polyprotein
10120,ORF1a polyprotein
10293,ORF1ab polyprotein
4978,ORF1ab polyprotein
6577,ORF1ab polyprotein
10663,ORF3a protein
3882,surface glycoprotein
1678,ORF1ab polyprotein
9611,surface glycoprotein
10354,ORF1ab polyprotein
9173,ORF1a polyprotein
4692,surface glycoprotein
11906,ORF1ab polyprotein
7690,ORF1ab polyprotein
2624,ORF1ab polyprotein
12923,surface glycoprotein
2576,ORF1ab polyprotein
12643,ORF4b protein
6801,ORF1a polyprotein
3113,ORF1ab polyprotein
10841,ORF1a polyprotein
10106,ORF1ab polyprotein
12066,surface glycoprotein
11415,ORF1a polyprotein
740,ORF3a protein
12999,surface glycoprotein
10076,ORF1a polyprotein
2959,ORF1ab polyprotein
2195,ORF1a polyprotein
12893,ORF1a polyprotein
1615,ORF1ab polyprotein
2270,ORF1ab polyprotein
4745,ORF1ab polyprotein
5342,ORF1ab polyprotein
1349,ORF1a polyprotein
12279,ORF1ab polyprotein
9223,ORF1ab polyprotein
10843,ORF1ab polyprotein
10517,surface glycoprotein
12423,ORF3 protein
741,surface glycoprotein
11356,ORF1ab polyprotein
956,ORF1a polyprotein
1640,ORF1a polyprotein
7827,ORF1ab polyprotein
11555,ORF4b protein
6272,ORF1ab polyprotein
74,ORF1a polyprotein
1558,ORF1ab polyprotein
2626,ORF1a polyprotein
7205,ORF1a polyprotein
9027,ORF1a polyprotein
10472,ORF1a polyprotein
354,ORF1ab polyprotein
8166,ORF1ab polyprotein
10719,ORF1a polyprotein
8453,nucleocapsid phosphoprotein
8530,ORF1a polyprotein
9492,ORF1ab polyprotein
5891,ORF1a polyprotein
2231,ORF1a polyprotein
6555,ORF1a polyprotein
9480,ORF1a polyprotein
11110,surface glycoprotein
9924,ORF1ab polyprotein
12739,ORF5 protein
11010,ORF1a polyprotein
12328,ORF4a protein
11384,ORF1a polyprotein
11707,ORF1a polyprotein
5026,ORF1ab polyprotein
12574,nucleocapsid phosphoprotein
1071,surface glycoprotein
4519,ORF1ab polyprotein
6719,ORF1ab polyprotein
7042,ORF1a polyprotein
2644,ORF1ab polyprotein
5306,ORF1a polyprotein
12505,surface glycoprotein
13115,surface glycoprotein
5774,ORF1ab polyprotein
4631,ORF8 protein
1432,ORF1ab polyprotein
7125,surface glycoprotein
2179,ORF1ab polyprotein
1095,ORF1a polyprotein
4781,ORF1a polyprotein
10560,ORF1ab polyprotein
10459,membrane glycoprotein
1631,ORF1ab polyprotein
12802,ORF4b protein
1362,ORF1ab polyprotein
11702,ORF1ab polyprotein
13070,ORF1ab polyprotein
1525,ORF7a protein
579,ORF1ab polyprotein
11122,surface glycoprotein
597,ORF1ab polyprotein
6564,ORF1a polyprotein
2029,ORF1ab polyprotein
4432,surface glycoprotein
1295,ORF1a polyprotein
5244,ORF1ab polyprotein
7505,ORF1a polyprotein
7171,nucleocapsid phosphoprotein
119,ORF1ab polyprotein
1224,ORF1ab polyprotein
2346,surface glycoprotein
6893,ORF1a polyprotein
10528,ORF1ab polyprotein
2119,ORF1ab polyprotein
10755,ORF1ab polyprotein
4573,ORF1a polyprotein
12267,surface glycoprotein
8647,surface glycoprotein
7541,ORF1a polyprotein
5618,ORF1ab polyprotein
7725,ORF1a polyprotein
9000,ORF1ab polyprotein
8712,ORF1ab polyprotein
10953,ORF3a protein
6586,ORF1ab polyprotein
7557,surface glycoprotein
6310,nucleocapsid phosphoprotein
2168,surface glycoprotein
1005,ORF1a polyprotein
7895,ORF1a polyprotein
2319,ORF1a polyprotein
7161,ORF1ab polyprotein
9860,ORF1ab polyprotein
641,ORF1a polyprotein
4064,surface glycoprotein
13014,ORF1a polyprotein
753,ORF1ab polyprotein
3512,ORF1a polyprotein
151,ORF1a polyprotein
7224,ORF1a polyprotein
10063,ORF1a polyprotein
936,ORF1ab polyprotein
805,ORF1ab polyprotein
2094,ORF1ab polyprotein
2331,ORF1ab polyprotein
1897,ORF1ab polyprotein
5670,ORF1ab polyprotein
7468,ORF1a polyprotein
1625,ORF1ab polyprotein
6525,ORF1ab polyprotein
9130,ORF1ab polyprotein
2724,ORF1a polyprotein
11375,nucleocapsid phosphoprotein
8792,ORF1ab polyprotein
7,ORF1ab polyprotein
8878,ORF1ab polyprotein
8159,ORF1a polyprotein
8925,ORF1a polyprotein
6891,ORF1ab polyprotein
8874,ORF1a polyprotein
6875,ORF8 protein
3378,ORF1ab polyprotein
137,ORF1ab polyprotein
8470,ORF1ab polyprotein
781,ORF1ab polyprotein
12650,nucleocapsid phosphoprotein
9529,ORF1ab polyprotein
9660,ORF1ab polyprotein
5284,ORF1ab polyprotein
10915,ORF1ab polyprotein
4304,ORF1a polyprotein
413,ORF1ab polyprotein
9666,ORF1ab polyprotein
10379,ORF1ab polyprotein
8126,ORF1ab polyprotein
4141,nucleocapsid phosphoprotein
617,ORF1ab polyprotein
10825,ORF1ab polyprotein
4181,nucleocapsid phosphoprotein
8433,ORF1a polyprotein
11391,surface glycoprotein
5,ORF1a polyprotein
9534,ORF1ab polyprotein
12144,ORF1ab polyprotein
6081,ORF1a polyprotein
11798,envelope protein
10642,ORF1a polyprotein
13146,ORF1ab polyprotein
1359,ORF1ab polyprotein
7056,ORF1ab polyprotein
12122,ORF1a polyprotein
3142,ORF1a polyprotein
676,ORF1ab polyprotein
